pt,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal,four_algorithm_signal
Prescribed underdose,active_breast_comparator,9,173,1,4106,182,4107,213.60693641618496,26.91068110247916,1695.532086733568,203.0934065934066,160.87392934465208,3.3614299037164157,0.2805346615918394,0.42434133830729776,17.53212685409383,9.972516434029563,True,True,True,True,True,True
Stomatitis,active_breast_comparator,40,142,17,4090,182,4107,67.77133388566695,37.506846836323085,122.45640687114634,53.09631544925663,601.6727837723025,3.7945015189052183,2.080766737051336,2.418745628351597,15.963136989919127,12.239757366583166,True,True,True,True,True,True
Dry eye,active_breast_comparator,8,174,15,4092,182,4107,12.542528735632184,5.247403527088119,29.97959395957795,12.035164835164835,45.78816636982601,2.525784705116368,0.0042900062662254435,0.9759850781067848,7.717423638853617,4.242623034671768,True,True,True,True,True,True
Disease progression,active_breast_comparator,78,104,265,3842,182,4107,10.873584905660378,7.904669335586251,14.957595780549655,6.642048517520215,308.99012036017393,2.3824587713774092,1.586867484543256,14.554907903940313,5.344702085355666,4.422883730657915,True,True,True,True,True,True
Off label use,active_breast_comparator,19,163,161,3946,182,4107,2.8569142247456463,1.7317811853423222,4.713042823560091,2.6630605419425297,16.837262241314775,1.2607023946546008,0.0806397699452901,7.63814408953136,2.501857863039125,1.6983969196783162,True,True,True,False,True,False
Carcinoembryonic antigen increased,active_breast_comparator,4,178,1,4106,182,4107,92.26966292134831,10.259836947646466,829.8076021151793,90.26373626373628,53.26857909104531,2.6596300769976233,-0.9465019733320439,0.21217066915364888,13.589357222550793,5.871353499733889,True,True,False,True,False,False
Vascular pain,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Skin burning sensation,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Rectal prolapse,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Completed suicide,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Amylase increased,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Incorrect product formulation administered,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Aphthous ulcer,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Sialoadenitis,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Wound infection,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Angular cheilitis,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Injection site reaction,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Ocular discomfort,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Eye irritation,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Ulcerative keratitis,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Fungal pharyngitis,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Malignant ascites,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Corneal epitheliopathy,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Infectious iridocyclitis,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Intraocular pressure increased,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Procedural shock,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Urinary bladder rupture,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Abnormal sensation in eye,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Laryngopharyngitis,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Compression fracture,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Corneal erosion,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Paraesthesia oral,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Incorrect drug administration rate,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Respiratory syncytial virus test positive,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Duodenal perforation,active_breast_comparator,1,181,0,4107,182,4107,67.89256198347107,2.7560794185867583,1672.4481673474531,67.34426229508198,10.251095279967423,1.4674426295994654,-3.012634649570648,0.042434133830729776,9.199448179463916,2.0205029474103067,False,False,False,False,False,False
Catheter site infection,active_breast_comparator,2,180,1,4106,182,4107,45.62222222222222,4.117553629946729,505.49120850692,45.13186813186814,15.468506147322941,1.9946951040681447,-1.9983762426636573,0.12730240149218933,10.072039543525936,3.1844183839741094,False,False,False,False,False,False
Keratitis,active_breast_comparator,3,179,2,4105,182,4107,34.399441340782126,5.711977488235154,207.1649559185368,33.8489010989011,25.79287945355825,2.297059997612915,-1.37878784815058,0.21217066915364888,10.505894869738873,4.02081003504694,True,True,False,True,False,False
Osteonecrosis of jaw,active_breast_comparator,3,179,3,4104,182,4107,22.92737430167598,4.595215942038554,114.39386070199654,22.565934065934066,20.70896059700675,2.213561734157542,-1.3753800900605149,0.25460480298437865,9.287379782532682,3.5544606425161813,True,True,False,True,False,False
Malignant pleural effusion,active_breast_comparator,2,180,2,4105,182,4107,22.805555555555557,3.194176183081285,162.8255094231587,22.56593406593407,10.897742885650693,1.900262517989443,-1.9903698292830874,0.1697365353229191,8.551016127452028,2.7035252234906215,False,False,False,False,False,False
Cardiac failure congestive,active_breast_comparator,1,181,1,4106,182,4107,22.685082872928177,1.4131970646836431,364.14807093221657,22.56593406593407,2.121584980720315,1.3587788785924155,-3.000305350954143,0.08486826766145955,7.2090369983433495,1.5833428504612208,False,False,False,False,False,False
Erythema multiforme,active_breast_comparator,1,181,1,4106,182,4107,22.685082872928177,1.4131970646836431,364.14807093221657,22.56593406593407,2.121584980720315,1.3587788785924155,-3.000305350954143,0.08486826766145955,7.2090369983433495,1.5833428504612208,False,False,False,False,False,False
Psychiatric symptom,active_breast_comparator,1,181,1,4106,182,4107,22.685082872928177,1.4131970646836431,364.14807093221657,22.56593406593407,2.121584980720315,1.3587788785924155,-3.000305350954143,0.08486826766145955,7.2090369983433495,1.5833428504612208,False,False,False,False,False,False
Faeces soft,active_breast_comparator,1,181,1,4106,182,4107,22.685082872928177,1.4131970646836431,364.14807093221657,22.56593406593407,2.121584980720315,1.3587788785924155,-3.000305350954143,0.08486826766145955,7.2090369983433495,1.5833428504612208,False,False,False,False,False,False
Breast haemorrhage,active_breast_comparator,1,181,1,4106,182,4107,22.685082872928177,1.4131970646836431,364.14807093221657,22.56593406593407,2.121584980720315,1.3587788785924155,-3.000305350954143,0.08486826766145955,7.2090369983433495,1.5833428504612208,False,False,False,False,False,False
Pelvic fracture,active_breast_comparator,1,181,1,4106,182,4107,22.685082872928177,1.4131970646836431,364.14807093221657,22.56593406593407,2.121584980720315,1.3587788785924155,-3.000305350954143,0.08486826766145955,7.2090369983433495,1.5833428504612208,False,False,False,False,False,False
Glossodynia,active_breast_comparator,1,181,1,4106,182,4107,22.685082872928177,1.4131970646836431,364.14807093221657,22.56593406593407,2.121584980720315,1.3587788785924155,-3.000305350954143,0.08486826766145955,7.2090369983433495,1.5833428504612208,False,False,False,False,False,False
Leukoencephalopathy,active_breast_comparator,1,181,1,4106,182,4107,22.685082872928177,1.4131970646836431,364.14807093221657,22.56593406593407,2.121584980720315,1.3587788785924155,-3.000305350954143,0.08486826766145955,7.2090369983433495,1.5833428504612208,False,False,False,False,False,False
Melaena,active_breast_comparator,1,181,1,4106,182,4107,22.685082872928177,1.4131970646836431,364.14807093221657,22.56593406593407,2.121584980720315,1.3587788785924155,-3.000305350954143,0.08486826766145955,7.2090369983433495,1.5833428504612208,False,False,False,False,False,False
Anuria,active_breast_comparator,1,181,1,4106,182,4107,22.685082872928177,1.4131970646836431,364.14807093221657,22.56593406593407,2.121584980720315,1.3587788785924155,-3.000305350954143,0.08486826766145955,7.2090369983433495,1.5833428504612208,False,False,False,False,False,False
Disseminated intravascular coagulation,active_breast_comparator,1,181,1,4106,182,4107,22.685082872928177,1.4131970646836431,364.14807093221657,22.56593406593407,2.121584980720315,1.3587788785924155,-3.000305350954143,0.08486826766145955,7.2090369983433495,1.5833428504612208,False,False,False,False,False,False
Oral candidiasis,active_breast_comparator,1,181,1,4106,182,4107,22.685082872928177,1.4131970646836431,364.14807093221657,22.56593406593407,2.121584980720315,1.3587788785924155,-3.000305350954143,0.08486826766145955,7.2090369983433495,1.5833428504612208,False,False,False,False,False,False
Discouragement,active_breast_comparator,1,181,1,4106,182,4107,22.685082872928177,1.4131970646836431,364.14807093221657,22.56593406593407,2.121584980720315,1.3587788785924155,-3.000305350954143,0.08486826766145955,7.2090369983433495,1.5833428504612208,False,False,False,False,False,False
Ocular hyperaemia,active_breast_comparator,2,180,3,4104,182,4107,15.2,2.5240216628568084,91.53645683789331,15.043956043956046,8.172768654841958,1.8116331704426734,-1.9864797323848382,0.21217066915364888,7.429112812822819,2.348819552935234,False,False,False,False,False,False
Lung opacity,active_breast_comparator,2,180,4,4103,182,4107,11.397222222222222,2.073856679456082,62.63531885761002,11.282967032967035,6.370699144768611,1.7281349069873007,-1.985933974312875,0.25460480298437865,6.567455033145607,2.0763942052744295,False,False,False,False,False,False
Skin irritation,active_breast_comparator,1,181,2,4105,182,4107,11.339779005524862,1.023476899886043,125.6409283965863,11.282967032967035,1.1402808090271044,1.2577295099019388,-2.9939558814935134,0.12730240149218933,5.926719912468467,1.301703625914192,False,False,False,False,False,False
Pneumonia aspiration,active_breast_comparator,1,181,2,4105,182,4107,11.339779005524862,1.023476899886043,125.6409283965863,11.282967032967035,1.1402808090271044,1.2577295099019388,-2.9939558814935134,0.12730240149218933,5.926719912468467,1.301703625914192,False,False,False,False,False,False
Swelling,active_breast_comparator,1,181,2,4105,182,4107,11.339779005524862,1.023476899886043,125.6409283965863,11.282967032967035,1.1402808090271044,1.2577295099019388,-2.9939558814935134,0.12730240149218933,5.926719912468467,1.301703625914192,False,False,False,False,False,False
Performance status decreased,active_breast_comparator,1,181,2,4105,182,4107,11.339779005524862,1.023476899886043,125.6409283965863,11.282967032967035,1.1402808090271044,1.2577295099019388,-2.9939558814935134,0.12730240149218933,5.926719912468467,1.301703625914192,False,False,False,False,False,False
Conjunctivitis,active_breast_comparator,1,181,2,4105,182,4107,11.339779005524862,1.023476899886043,125.6409283965863,11.282967032967035,1.1402808090271044,1.2577295099019388,-2.9939558814935134,0.12730240149218933,5.926719912468467,1.301703625914192,False,False,False,False,False,False
Osteomyelitis,active_breast_comparator,1,181,2,4105,182,4107,11.339779005524862,1.023476899886043,125.6409283965863,11.282967032967035,1.1402808090271044,1.2577295099019388,-2.9939558814935134,0.12730240149218933,5.926719912468467,1.301703625914192,False,False,False,False,False,False
